洛阳,1号线,启明南路
厦门,1号线,杏锦路
香港,东铁线(羅湖-金钟),会展
贵阳,1号线,新寨
南宁,1号线,广西大学
温州,S1线,瓯华
长沙,1号线,黄土岭
济南,2号线,八里桥
武汉,1号线,宗关
天津,1号线,陈塘庄
上海,1号线,延长路
沈阳,1号线,张士
成都,1号线(五根松-韦家碾),天府广场
杭州,1号线,七堡
北京,1号线八通线,南礼士路
苏州,1号线,东方之门
昆明,1号线(环城南路-大学城南),大学城南
长春,2号线,西湖
南京,1号线,河定桥
深圳,1号线/罗宝线,高新园
重庆,1号线,双碑
宁波,1号线,江厦桥东
无锡,1号线,无锡火车站
哈尔滨,1号线,博物馆
福州,1号线,城门
佛山,佛山2号线,绿岛湖
南昌,1号线,青山湖大道
青岛,1号线,中心医院
呼和浩特,1号线,后不塔气
广州,佛山2号线,林岳西
常州,1号线,同济桥
西安,1号线,劳动路
徐州,1号线,金龙湖
大连,1号线,学苑广场
郑州,1号线,紫荆山
兰州,1号线,省气象局
合肥,1号线,合工大南区
石家庄,1号线,火炬广场
太原,2号线,龙城公园
乌鲁木齐,1号线,南门
洛阳,1号线,塔湾
厦门,1号线,官任
香港,东铁线(羅湖-金钟),红磡
贵阳,1号线,阳关
南宁,1号线,鲁班路
温州,S1线,双瓯大道
长沙,1号线,涂家冲
济南,2号线,益康路
武汉,1号线,汉西一路
天津,1号线,复兴门
上海,1号线,上海马戏城
沈阳,1号线,四号街
成都,1号线(五根松-韦家碾),骡马市
杭州,1号线,九和路
北京,1号线八通线,复兴门
苏州,1号线,文化博览中心
昆明,1号线(环城南路-昆明南火车站),环城南路
长春,2号线,双丰
南京,1号线,双龙大道
深圳,1号线/罗宝线,深大
重庆,1号线,赖家桥
宁波,1号线,东门口
无锡,1号线,胜利门
哈尔滨,1号线,医大一院
福州,1号线,三角埕
佛山,佛山2号线,智慧新城
南昌,1号线,高新大道
青岛,1号线,水清沟
呼和浩特,1号线,什兰岱
广州,佛山2号线,石洲
常州,1号线,清凉寺
西安,1号线,玉祥门
徐州,1号线,徐州东站
大连,1号线,海事大学
郑州,1号线,燕庄
兰州,1号线,拱星墩
合肥,1号线,包公园
石家庄,1号线,石家庄东站
太原,2号线,嘉节
乌鲁木齐,1号线,二道桥
洛阳,1号线,史家湾
厦门,1号线,诚毅广场
香港,东铁线(羅湖-金钟),旺角东
贵阳,1号线,国际生态会议中心
南宁,1号线,动物园
温州,S2线,清东路
长沙,1号线,铁道学院
济南,2号线,济南站北
武汉,1号线,古田四路
天津,1号线,华山里
上海,1号线,汶水路
沈阳,1号线,七号街
成都,1号线(五根松-韦家碾),文殊院
杭州,1号线,九堡
北京,1号线八通线,西单
苏州,1号线,时代广场
昆明,1号线(环城南路-昆明南火车站),昆明火车站
长春,2号线,长春西站
